id,property_description,area_jhb,listing_agency,rental_amount,street_address,occupation_date,Bedrooms_1,Bedrooms_2,bathrooms,area,Feature_1,Feature_2
20193189,R 8 000 1 Bedroom Apartment / Flat to Rent in Maboneng A modern 1 bedroom in the exclusive Living Moad dwelling in the heart of Maboneng Precinct. 24 hours security with fingerprint access. Walking distance to ... 1 | 1,1 Bedroom Apartment / flat to rent in Maboneng - Johannesburg, Chorus Letting,R 8 000,,,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Maboneng,
20193190,"R 5 000 Brighthouse, Richmond Apartment / Flat to Rent in Richmond Rental R2500 per person sharing R 5000 for 1 person Neat and tidy apartment Fully tiled Close to Wits, UJ, Buntin Road Campus, Campus Square and AFDA Ideal ... 1", National Letting - Johannesburg, Bathrooms, , ,,1,,,,,
20193191,R 6 292 2 Bedroom Apartment / Flat to Rent in Haddon This is a lovely two bedroom flat in a Suidsig in a area called Haddon This building is located in a quiet ... Available: 26 February 2019 2 | 1,2 Bedroom Apartment / flat to rent in Haddon - Johannesburg, Trafalgar Property Management,R 6 292,,Available: 26 February 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Haddon,
20193192,"R 7 400 247 Bellairs Drive Glenvista glenvista Village, Glenvista 2 Bedroom Townhouse to Rent in Glenvista Neat 2 bedroom unit in a spacious complex with lots of open garden areas for kids to play. Pool in complex. 24/7 manned security at gate. Available to move in ... 2 | 1 Floor Size: 85 m²",2 Bedroom Townhouse to rent in Glenvista - Johannesburg, Boss Platinum Real Estate,R 7 400,"247 Bellairs Drive Glenvista glenvista Village, Glenvista",,Beds,2,2 | 1, Floor Size: 85 m²,2 Bedroom Townhouse to Rent in Glenvista,85 m²
20193193,"R 2 750 Melville Mews, 7 Orange Street, Sunnyside Apartment / Flat to Rent in Sunnyside Rental - R2500.00 - SHARING A neat bachelor apartment to rent in Auckland Park at Mellville Mews complex. This apartment is walking distance from all ... 1", National Letting - Johannesburg, Bathrooms, , ,,1,,,,,
20193194,"R 2 950 Helvetia Court, 4 Jolly Street, Yeoville 0.5 Bedroom Apartment / Flat to Rent in Yeoville SPECIAL: Pay no deposit and only R 100 Admin fee Various Bachelors Available for immediate ... Available: 01 May 2019 0.5 | 1 Floor Size: 1 m²", Beds, Bathrooms,,, ,1,1 m²,,,Available: 01 May 2019,
20193195,R 12 000 2 Bedroom Apartment / Flat to Rent in Killarney This beautiful 2 bedroom apartment situated in sought after killarney splice apartment building. Prime location in johannesburg. 2 | 1,2 Bedroom Apartment / flat to rent in Killarney - Johannesburg, Be Prop,R 12 000,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Killarney,
20193196,"R 2 800 69 Joubert Street Springbok Hotel , Johannesburg Central Apartment / Flat to Rent in Johannesburg Central Springbok Hotel was a hotel and then converted into rental flats. The newly redeveloped building in the heart of Johannesburg CBD is ideally located within a ...", ,  ,Apartment / Flat to Rent in Johannesburg Central,Springbok Hotel was a hotel and then converted into rental flats. The newly redeveloped building in the heart of Johannesburg CBD is ideally located within a ...,,,,,,,
20193197,"R 22 000 2 Bedroom Apartment / Flat to Rent in Rosebank 2 Bedroom apartment for rent in Rosebank Apartment Offers: Modern kitchen , open plan living area which ... Available: 02 January 2019 2 | 2",2 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, Etchells & Young Property Brokers,R 22 000,,Available: 02 January 2019,Beds,2,2,,2 Bedroom Apartment / Flat to Rent in Rosebank,
20193198,"R 15 500 2 Bedroom Apartment / Flat to Rent in Rosebank A furnished modern 73.3 sqm ground floor apartment at the The Vantage, has 2 bedrooms, 2 bathrooms, open plan ... Available: 31 January 2019 2 | 2 | 2 Floor Size: 73 m²",2 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, RE/MAX Advantage,R 15 500,,Available: 31 January 2019,Beds,2,2,73 m²,2 Bedroom Apartment / Flat to Rent in Rosebank,
20193199,"R 5 000 Laborie Village, Orange Street, Auckland Park Apartment / Flat to Rent in Auckland Park Superb Unfurnished home with grand proportions, excellent location. R2750.00 per person sharing or R5000.00 single Its spacious, Ideal for students Young ... 1", National Letting - Johannesburg, Bathrooms, , ,,1,,,,,
20193200,"R 4 650 7 Cnr Dunbar n Bezuindenthout, Bellevue East 1 Bedroom Apartment / Flat to Rent in Bellevue East Layout and specifics : This unit is located in a secure building. The kitchen and bedroom is spacious with ... Available: 07 March 2019 1 | 1",1 Bedroom Apartment / flat to rent in Bellevue East - Johannesburg, Framework Property Services,R 4 650,"7 Cnr Dunbar n Bezuindenthout, Bellevue East",Available: 07 March 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Bellevue East,
20193201,"R 3 900 1 Bedroom Apartment / Flat to Rent in Albertville Lovely cosy unit. Inside the complex, there are lovely trees giving you a holiday feeling. Rental excludes ... Available: 01 April 2019 1 | 1","1 Bedroom Apartment / flat to rent in Albertville - Johannesburg; Just Property, Randburg; Beds; Bathrooms", ,,"Just Property, Randburg",Beds, , ,,, ,
20193202,R 6 000 Apartment / Flat to Rent in Bruma BRUMA MODERN STUDIO APARTMENT FOR RENTAL All open plan with modern kitchen Modern bathroom Build in ... Available: 05 February 2019 1, ,  ,Apartment / Flat to Rent in Bruma,BRUMA MODERN STUDIO APARTMENT FOR RENTAL All open plan with modern kitchen Modern bathroom Build in ...,,,,,,,
20193203,"R 5 500 2 Bedroom Townhouse to Rent in Meredale Rental situated at Complex Meredale Mews in Meredale. 2 newly tiled Bedrooms, Bathroom, Lounge, Kitchen. Ground Floor apartment. Security in complex. Down ... 2 | 1", Beds, Bathrooms,,, ,2 | 1, ,,,,
20193204,R 30 000 2 Bedroom Apartment / Flat to Rent in Melrose Arch Just what you want! This magnificent well appointed apartment has 2 en-suite bedrooms and a large open plan living area. The patio has a built-in braai and ... 2 | 2 Floor Size: 118 m²,2 Bedroom Apartment / flat to rent in Melrose Arch - Johannesburg, Vered Estates,R 30 000,,,Beds,2,2 | 2, Floor Size: 118 m²,2 Bedroom Apartment / Flat to Rent in Melrose Arch,118 m²
20193205,"R 5 500 2 Bedroom Townhouse to Rent in Meredale Rental situated at Complex Meredale Mews in Meredale. 2 newly tiled Bedrooms, Bathroom, Lounge, Kitchen. Ground Floor apartment. Security in complex. Down ... 2 | 1", Beds, Bathrooms,,, ,2 | 1, ,,,,
20193206,"R 3 100 114 Goud Street Lustre House, Johannesburg Central Apartment / Flat to Rent in Johannesburg Central 50% off first month's rent! No deposit! This recently renovated building, situated at 114 Goud Street ... Available: 12 July 2018", ,  ,Apartment / Flat to Rent in Johannesburg Central,"50% off first month's rent! No deposit! This recently renovated building, situated at 114 Goud Street ...",,,,,,,
20193207,R 30 000 2 Bedroom Apartment / Flat to Rent in Dunkeld 2 Bedroom 2 bathroom apartment in a beautiful and picturesque environment. The apartment has top finishes and ... Available: 18 January 2019 2 | 2,2 Bedroom Apartment / flat to rent in Dunkeld - Johannesburg, Dogon Group Sandton,R 30 000,,Available: 18 January 2019,Beds,2,2,,2 Bedroom Apartment / Flat to Rent in Dunkeld,
20193208,"R 5 500 179 Main Street, Johannesburg Central 2 Bedroom Apartment / Flat to Rent in Johannesburg Central 50%off on deposit ! Secure & warm apartments for the individual or family living. Located on 179 Main ... Available: 03 January 2019 2 | 1",2 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, Mafadi Property Management Office,R 5 500,"179 Main Street, Johannesburg Central",Available: 03 January 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193209,"R 5 500 179 Main Street, Johannesburg Central 2 Bedroom Apartment / Flat to Rent in Johannesburg Central 50%off on deposit ! Secure & warm apartments for the individual or family living. Located on 179 Main ... Available: 03 January 2019 2 | 1",2 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, Mafadi Property Management Office,R 5 500,"179 Main Street, Johannesburg Central",Available: 03 January 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193210,R 18 000 1 Bedroom Apartment / Flat to Rent in Houghton Estate This Exquisite luxurious furnished double storey garden cottage is for the discerning executive.150sqm. 1 ... Available: 18 December 2018 1 | 1,1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Firzt Realty Company Firzt Realty Company,R 18 000,,Available: 18 December 2018,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20193211,"R 1 850 275 Main Street, Jeppestown (room) (jhb), Jeppestown Apartment / Flat to Rent in Jeppestown Last units available in Jeppestown! Spacious, secure & easy access to public transport & ... Available: 22 January 2018 1", Chorus Letting, Bathrooms, , ,,,,,,Available: 22 January 2018,
20193212,"R 4 800 Orange Street, Auckland Park Apartment / Flat to Rent in Auckland Park Rental is R 4800 and R 2500 per person sharing people sharing A beautiful bachelor flat to rent in Auckland ... Available: 01 December 2018 1 Floor Size: 27 m²", National Letting - Johannesburg, Bathrooms, , ,,,27 m²,,,Available: 01 December 2018,
20193213,"R 3 800 1 Bedroom Apartment / Flat to Rent in Bellevue East This unit is spacious and consist of 1 bedroom, bathroom and cute kitchen. The water is a fixed monthly ... Available: 02 January 2019 1 | 1",1 Bedroom Apartment / flat to rent in Bellevue East - Johannesburg, Trafalgar Property Management,R 3 800,,Available: 02 January 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Bellevue East,
20193214,"R 2 750 114 Goud Street Lustre House, Johannesburg Central Apartment / Flat to Rent in Johannesburg Central 50% off first month's rent! No deposit! This recently renovated building, situated at 114 Goud Street ... Available: 04 July 2018", ,  ,Apartment / Flat to Rent in Johannesburg Central,"50% off first month's rent! No deposit! This recently renovated building, situated at 114 Goud Street ...",,,,,,,
20193215,"R 15 000 1 Bedroom Apartment / Flat to Rent in Houghton Estate Situated in a highly sought after complex, Ipanema, this unit is ideal for execs. This one bedroom, one ... Available: 08 January 2019 1 | 1 | 1 Floor Size: 54 m²",1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Frankie Bell's Real Estate,R 15 000,,Available: 08 January 2019,Beds,1,1,54 m²,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20193216,"R 2 000 F103 - Lumber House, 28 De Ville Street, Langlaagte Apartment / Flat to Rent in Langlaagte We offer spacious, neat and clean flats & rooms with easy access to main routes & shopping ... Available: 01 March 2019 1", First Property Trust, Bathrooms, , ,,,,,,Available: 01 March 2019,
20193217,"R 6 500 1 Bedroom Apartment / Flat to Rent in Auckland Park 1 bedroom apartment to let in auckland park. 1 bedroom and 1 bathroom, open plan kitchen and lounge. Close to ... Available: 01 February 2019 1 | 1",1 Bedroom Apartment / flat to rent in Auckland Park - Johannesburg, Skye Letting,R 6 500,,Available: 01 February 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Auckland Park,
20193218,"R 2 500 38 Harrow Street, Yeoville 0.5 Bedroom Apartment / Flat to Rent in Yeoville No deposit !!! This historic hotel has been transformed into convenient lock-up and go bachelor rooms. Each ... Available: 27 March 2019 0.5 | 1",0.5 Bedroom Apartment / flat to rent in Yeoville - Johannesburg, Mafadi Property Management Office,R 2 500,"38 Harrow Street, Yeoville",Available: 27 March 2019,Beds,0.5,1,,0.5 Bedroom Apartment / Flat to Rent in Yeoville,
20193219,R 7 000 1 Bedroom Apartment / Flat to Rent in Maboneng The Loft is perfect for a young fun loving professional or a young couple as their first. home. The place offers easy access to the highways and shopping ... 1 | 1,1 Bedroom Apartment / flat to rent in Maboneng - Johannesburg, Chorus Letting,R 7 000,,,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Maboneng,
20193220,"R 5 000 Laborie Village, Menton Road, Auckland Park Apartment / Flat to Rent in Auckland Park A spacious ground floor bachelor flat to rent in Auckland Park - Laborie Village. This flat is just walking distance from all surrounding campuses such as UJ ... 1", National Letting - Johannesburg, Bathrooms, , ,,1,,,,,
20193221,R 4 050 1 Bedroom Apartment / Flat to Rent in Marshalltown SHORT DESCRIPTION: Clean one bedroom unit in the heart of Johannesburg. Great space for a small family as the place is situated close to ... 1 | 1,1 Bedroom Apartment / flat to rent in Marshalltown - Johannesburg, Chorus Letting,R 4 050,,,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Marshalltown,
20193222,"R 1 400 B006 - Lumber House, 28 De Ville Street, Langlaagte Apartment / Flat to Rent in Langlaagte We offer spacious, neat and clean flats & rooms with easy access to main routes, shopping ... Available: 01 March 2019", ,  ,Apartment / Flat to Rent in Langlaagte,"We offer spacious, neat and clean flats & rooms with easy access to main routes, shopping ...",,,,,,,
20193223,"R 5 695 3 Davies Street, Doornfontein 3 Bedroom Apartment / Flat to Rent in Doornfontein First month rent free and no lease fee!!! New and modern apartments available in the heart of ... Available: 03 April 2019 3 | 1",3 Bedroom Apartment / flat to rent in Doornfontein - Johannesburg, Mafadi Property Management Office,R 5 695,"3 Davies Street, Doornfontein",Available: 03 April 2019,Beds,3,1,,3 Bedroom Apartment / Flat to Rent in Doornfontein,
20193224,"R 2 500 66 Small Street, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central 50% DISCOUNT ON FIRST MONTH RENT Lofts @66 offers specious bachelor apartments which feature an open plan ... Available: 29 March 2019 1 | 1",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, Mafadi Property Management Office,R 2 500,"66 Small Street, Johannesburg Central",Available: 29 March 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193225,"R 11 000 1 Bedroom Apartment / Flat to Rent in Rosebank Welcome to The Residency, Jellicoe. This luxurious apartment will appeal to the executive or corporate ... Available: 01 September 2018 1 | 1",1 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, Engel & Volkers Hyde Park,R 11 000,,Available: 01 September 2018,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Rosebank,
20193226,"R 6 600 Chester Place, Vleiroos Street, Winchester Hills 2 Bedroom Apartment / Flat to Rent in Winchester Hills This is a two-bedroom, single bathroom apartment that is available for rent in Winchester Hills. The remainder of the apartment comprises a kitchen, a dining ... 2 | 1",2 Bedroom Apartment / flat to rent in Winchester Hills - Johannesburg, Landstar Property Solutions,R 6 600,"Chester Place, Vleiroos Street, Winchester Hills",,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Winchester Hills,
20193227,"R 11 000 1 Bedroom Apartment / Flat to Rent in Rosebank Welcome to The Residency, Jellicoe. This luxurious apartment will appeal to the executive or corporate ... Available: 01 September 2018 1 | 1",1 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, Engel & Volkers Hyde Park,R 11 000,,Available: 01 September 2018,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Rosebank,
20193228,"R 3 000 65 High&lilly Street, Berea 1 Bedroom Apartment / Flat to Rent in Berea 50% off deposit!!! Suemark Apartments offer spacious bachelor units in the heart of Berea. Each unit is ... Available: 29 January 2019 1 | 1",1 Bedroom Apartment / flat to rent in Berea - Johannesburg, Mafadi Property Management Office,R 3 000,"65 High&lilly Street, Berea",Available: 29 January 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Berea,
20193229,"R 6 500 Rock Ridge, Susana Street, Ridgeway 2 Bedroom Apartment / Flat to Rent in Ridgeway This is a two-bedroom, single bathroom apartment that is available for rent in Ridgeway. The remainder of the apartment comprises a kitchen, a dining room and ... 2 | 1",2 Bedroom Apartment / flat to rent in Ridgeway - Johannesburg, Landstar Property Solutions,R 6 500,"Rock Ridge, Susana Street, Ridgeway",,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Ridgeway,
20193230,"R 5 000 Laborie Village, Menton Road, Auckland Park Apartment / Flat to Rent in Auckland Park A spacious bachelor flat to rent in Auckland Park - Laborie Village. This flat is just walking distance from all surrounding campuses such as UJ, WITS ... 1", National Letting - Johannesburg, Bathrooms, , ,,1,,,,,
